ID,LINK DOCUMENTI ESTRATTI
18,"https://www.agenziaentrate.gov.it/portale/documents/20143/6458344/Risposta+n.+208_2024.pdf/926bc347-8474-2da1-22a3-11da0b564584?t=1729673324520
https://www.agenziaentrate.gov.it/portale/documents/20143/6193294/Circolare+plusvalenze+superbonus+n.+13+del+13+giugno+2024_.pdf/6aea10c1-d402-3204-eb3e-b8a64422a43d?t=1718289879388
https://www.agenziaentrate.gov.it/portale/documents/20143/8987735/Risposta+n.+137_2025.pdf/62dea7e5-f567-fe0f-8c2f-5cafebd5030f?t=1747729469695"
19,"https://www.agenziaentrate.gov.it/portale/documents/20143/5329166/Circolare+n.+17+guida+2023+terza+parte+26.06.23.pdf/c04a174f-084c-5ed0-fe8d-b1d0bdbc333b?t=1687799895977#page=108
https://www.agenziaentrate.gov.it/portale/documents/20143/5329166/Circolare+n.+17+guida+2023+terza+parte+26.06.23.pdf/c04a174f-084c-5ed0-fe8d-b1d0bdbc333b?t=1687799895977#page=166
https://www.agenziaentrate.gov.it/portale/documents/20143/5329166/Circolare+n.+17+guida+2023+terza+parte+26.06.23.pdf/c04a174f-084c-5ed0-fe8d-b1d0bdbc333b?t=1687799895977#page=174"
20," https://www.agenziaentrate.gov.it/portale/documents/20143/1654699/Risposta%2Bn.%2B241_2019.pdf/092fe90b-40ba-e9e6-d7b9-5ca905790c66?t=1563296308326
https://www.agenziaentrate.gov.it/portale/documents/20143/2316552/Risposta+n.+66+del+20+febbraio+2020.pdf/99371a48-86bc-fc30-ea43-da1dd38584ac?t=1582188270480
https://www.agenziaentrate.gov.it/portale/documents/20143/3744575/Risposta_566_26.08.2021.pdf/5f539336-5464-5e6c-c956-1b3a1736d736?t=1631020648761"
21,"https://www.agenziaentrate.gov.it/portale/documents/20143/297902/Circolare+7+04042017_CIRCOLARE+7_E+DEL+4+APRILE+2017.pdf/d2ed5c82-1c2b-c3e6-8eb3-8f67b33dc17a?t=1491329101020#page=197
https://www.agenziaentrate.gov.it/portale/documents/20143/297902/Circolare+7+04042017_CIRCOLARE+7_E+DEL+4+APRILE+2017.pdf/d2ed5c82-1c2b-c3e6-8eb3-8f67b33dc17a?t=1491329101020#page=198
https://www.agenziaentrate.gov.it/portale/documents/20143/2570162/CIRCOLARE+19.pdf/9a1a4c49-7431-74f7-cb7b-b3eaa1d64a16?t=1594207612040#page=244"
22,"https://www.agenziaentrate.gov.it/portale/documents/20143/2570162/CIRCOLARE+19.pdf/9a1a4c49-7431-74f7-cb7b-b3eaa1d64a16?t=1594207612040#page=268
https://www.agenziaentrate.gov.it/portale/documents/20143/5329166/Circolare+n.+17+guida+2023+terza+parte+26.06.23.pdf/c04a174f-084c-5ed0-fe8d-b1d0bdbc333b?t=1687799895977#page=38
https://www.agenziaentrate.gov.it/portale/documents/20143/2570162/CIRCOLARE+19.pdf/9a1a4c49-7431-74f7-cb7b-b3eaa1d64a16?t=1594207612040#page=53"
23,"https://www.agenziaentrate.gov.it/portale/documents/20143/6241342/Risposta+n.+159_2024.pdf/2a06bb59-75f0-ee43-7555-34b2771ffc0a?t=1721639801619
https://www.agenziaentrate.gov.it/portale/documents/20143/2957155/Circolare+n.+33+del+28122020.pdf/e22ac901-2a2c-e580-5516-9b2725a760b3?t=1609162145718"
24,"https://www.agenziaentrate.gov.it/portale/documents/20143/2138217/Risposta+n.+491+del+2019.pdf/93209169-7997-9d4a-4daf-06d9369b76dc?t=1574687890201
https://www.agenziaentrate.gov.it/portale/documents/20143/2707899/Risposta+n.+458+del+2020.pdf/1030b9be-8a81-85a5-1163-3ac809508a7e?t=1602159794967
https://www.agenziaentrate.gov.it/portale/documents/20143/8902784/Risposta+n.+86_2025.pdf/30582b6f-41ac-4b3a-b983-56f6c171b369?t=1743668388747"
25,"https://www.agenziaentrate.gov.it/portale/documents/20143/3357291/Risposta_248_14.04.2021.pdf/e3d2bb4d-84ed-274e-3c6d-5390a759ad92?t=1631023792218
https://www.agenziaentrate.gov.it/portale/documents/20143/305086/Ris+4+del+04+01+2011_ris+n4e+del+4+gennaio+2011.pdf/78483d95-5347-395c-9a35-c705a188a72f?t=1294221705877
https://www.agenziaentrate.gov.it/portale/documents/20143/297557/Circolare+n+7+del+27+04+2018_CIRCOLARE+7+E.pdf/b92964f7-2c1b-51d1-210a-4bc28db21066?t=1524851384446#page=237"
26,"https://www.agenziaentrate.gov.it/portale/documents/20143/5329166/Circolare+n.+17+guida+2023+terza+parte+26.06.23.pdf/c04a174f-084c-5ed0-fe8d-b1d0bdbc333b?t=1687799895977#page=65
https://www.agenziaentrate.gov.it/portale/documents/20143/5329166/Circolare+n.+17+guida+2023+terza+parte+26.06.23.pdf/c04a174f-084c-5ed0-fe8d-b1d0bdbc333b?t=1687799895977#page=55
https://www.agenziaentrate.gov.it/portale/documents/20143/5329166/Circolare+n.+17+guida+2023+terza+parte+26.06.23.pdf/c04a174f-084c-5ed0-fe8d-b1d0bdbc333b?t=1687799895977#page=193"
27,"https://www.agenziaentrate.gov.it/portale/documents/20143/2059938/Risposta+n.+439+del+2019.pdf/20a9be3d-d51d-bee9-48de-c858257ff765?t=1572267030141
https://www.agenziaentrate.gov.it/portale/documents/20143/4081301/Risoluzione+n.+3+_18_01_22.pdf/bbd427b5-b253-53bf-26d4-cb7bfefb2a9f?t=1642584279022
https://www.agenziaentrate.gov.it/portale/documents/20143/299195/Circolare+18+29052013_circolare+18e.pdf/1dbba825-b823-f5a9-45eb-9b5b48496d0f?t=1383229026310"
28,"https://www.agenziaentrate.gov.it/portale/documents/20143/8418262/Risposta+n.+15_2025.pdf/7599ab04-11d9-6832-3bd0-f78d62f85b26?t=1738074407753
https://www.agenziaentrate.gov.it/portale/documents/20143/8473268/Risposta+n.+26_2025.pdf/181e81d3-1d97-fe3a-d02e-b968e42600e3?t=1739357897743
https://www.agenziaentrate.gov.it/portale/documents/20143/8902784/Risposta+n.+106_2025.pdf/119131ff-295d-3d74-96c3-06b5b4201126?t=1744795613764"
